,Active,Active_scale,Confirmed,Country_Region,Date,Deaths,FIPS,Hospitalization_Rate,ISO3,Incident_Rate,Last_Update,Lat,Long_,Mortality_Rate,People_Hospitalized,People_Tested,Province_State,Recovered,Testing_Rate,UID,Active_per1000
28,4151.0,4.151,4269,US,2020-04-12,118,29.0,23.14359335,USA,72.85659283,2020-04-12 23:18:15,38.4561,-92.2884,2.764113375,988.0,45200.0,MO,,771.4026695,84000029.0,4.151
29,381.0,0.381,387,US,2020-04-12,6,30.0,12.14470284,USA,44.68889256,2020-04-12 23:18:15,46.9219,-110.4544,1.5503875969999998,47.0,8913.0,MT,169.0,1029.230231,84000030.0,0.381
30,774.0,0.774,791,US,2020-04-12,17,31.0,,USA,51.85960275,2020-04-12 23:18:15,41.1254,-98.2681,2.149178255,,10691.0,NE,,700.924163,84000031.0,0.774
31,2724.0,2.724,2836,US,2020-04-12,112,32.0,9.943582511,USA,94.01010443,2020-04-12 23:18:15,38.3135,-117.0554,3.94922426,282.0,24611.0,NV,,815.8260508,84000032.0,2.724
32,906.0,0.906,929,US,2020-04-12,23,33.0,15.71582347,USA,69.94702398,2020-04-12 23:18:15,43.4525,-71.5639,2.475780409,146.0,10925.0,NH,236.0,822.5739902,84000033.0,0.906
33,59500.0,59.5,61850,US,2020-04-12,2350,34.0,12.29426031,USA,696.3372772000001,2020-04-12 23:18:15,40.2989,-74.521,3.7995149560000003,7604.0,126735.0,NJ,,1426.844055,84000034.0,59.5
34,1219.0,1.219,1245,US,2020-04-12,26,35.0,6.2650602410000005,USA,74.66119111,2020-04-12 23:18:15,34.8405,-106.2485,2.088353414,78.0,28692.0,NM,235.0,1720.6256190000001,84000035.0,1.219
35,179648.0,179.648,189033,US,2020-04-12,9385,36.0,22.53257368,USA,1121.124012,2020-04-12 23:18:15,42.1657,-74.9481,4.9647416060000005,42594.0,461601.0,NY,23887.0,2737.680538,84000036.0,179.648
36,4481.0,4.481,4570,US,2020-04-12,89,37.0,7.242888402999999,USA,46.07841902,2020-04-12 23:18:15,35.6301,-79.8064,1.947483589,331.0,62139.0,NC,,626.5354222,84000037.0,4.481
37,301.0,0.301,308,US,2020-04-12,7,38.0,12.66233766,USA,50.79004911,2020-04-12 23:18:15,47.5289,-99.78399999999999,2.272727273,39.0,10350.0,ND,121.0,1706.7435329999998,84000038.0,0.301
38,6351.0,6.351,6604,US,2020-04-12,253,39.0,29.49727438,USA,59.10222609,2020-04-12 23:18:15,40.3888,-82.7649,3.831011508,1948.0,63243.0,OH,,565.9906245,84000039.0,6.351
39,1874.0,1.874,1970,US,2020-04-12,96,40.0,22.63959391,USA,53.85995428,2020-04-12 23:18:15,35.5653,-96.9289,4.873096447,446.0,22760.0,OK,865.0,622.2601824,84000040.0,1.874
40,1475.0,1.475,1527,US,2020-04-12,52,41.0,23.51015062,USA,38.107606700000005,2020-04-12 23:18:15,44.571999999999996,-122.0709,3.4053700069999997,359.0,29758.0,OR,,742.6366471,84000041.0,1.475
41,22381.0,22.381,22938,US,2020-04-12,557,42.0,9.142035051,USA,182.2284446,2020-04-12 23:18:15,40.5908,-77.2098,2.428284942,2097.0,124890.0,PA,,992.175013,84000042.0,22.381
43,2602.0,2.602,2665,US,2020-04-12,63,44.0,7.542213884,USA,251.56674640000003,2020-04-12 23:18:15,41.6809,-71.5118,2.363977486,201.0,20350.0,RI,35.0,1920.969339,84000044.0,2.602
44,3238.0,3.238,3320,US,2020-04-12,82,45.0,14.93975904,USA,65.87334263,2020-04-12 23:18:15,33.8569,-80.945,2.469879518,496.0,31425.0,SC,,623.5149976,84000045.0,3.238
45,724.0,0.724,730,US,2020-04-12,6,46.0,5.890410959,USA,99.19933903,2020-04-12 23:18:15,44.2998,-99.4388,0.8219178079999999,43.0,8553.0,SD,197.0,1162.262941,84000046.0,0.724
46,5402.0,5.402,5508,US,2020-04-12,106,47.0,10.29411765,USA,83.90037425,2020-04-12 23:18:15,35.7478,-86.6923,1.924473493,567.0,70677.0,TN,1504.0,1076.584377,84000047.0,5.402
47,13394.0,13.394,13677,US,2020-04-12,283,48.0,9.782847116000001,USA,59.50516088,2020-04-12 23:18:15,31.0545,-97.5635,2.069167215,1338.0,124533.0,TX,2014.0,541.8115230000001,84000048.0,13.394
48,2285.0,2.285,2303,US,2020-04-12,18,49.0,8.467216674,USA,80.3592053,2020-04-12 23:18:15,40.15,-111.8624,0.781589231,195.0,44234.0,UT,,1543.468991,84000049.0,2.285
49,700.0,0.7,727,US,2020-04-12,27,50.0,4.6767537830000006,USA,119.06497150000001,2020-04-12 23:18:15,44.0459,-72.7107,3.71389271,34.0,9841.0,VT,15.0,1611.7171720000001,84000050.0,0.7
